TEMPORADA,# NIDO,ESPECIE,# HUEVOS,FECHA DE COLECTA,FECHA DE NACIMIENTO,CRIAS LOGRADAS,CRIAS NO LOGRADAS,ADOPTA,MES,AÑO,TASA DE SUPERVIVENCIA,,CRIAS LOGRADAS_1,,,,y = 19.872 + 1.280(Especie) + 0.012(Fecha) - 8.428(Temporada) - 0.008(Nido) + 0.851(Huevos)
A,46,GOLFINA,86,24/07/2022,07/09/2022,81,5,,9,2022,94.19%,,76.23198,,,,
A,47,GOLFINA,90,24/07/2022,07/09/2022,83,7,,9,2022,92.22%,,79.6453,,,,
A,48,GOLFINA,33,24/07/2022,07/09/2022,30,3,,9,2022,90.91%,,31.00549,,,,
A,49,GOLFINA,78,25/07/2022,08/09/2022,76,2,,9,2022,97.44%,,69.40534,,,,
A,50,GOLFINA,65,25/07/2022,08/09/2022,60,5,,9,2022,92.31%,,58.31205,,,,
A,51,GOLFINA,66,25/07/2022,08/09/2022,63,3,,9,2022,95.45%,,59.16538,,,,
A,52,GOLFINA,88,25/07/2022,08/09/2022,85,3,,9,2022,96.59%,,77.93864,,,,
A,53,GOLFINA,110,28/07/2022,11/09/2022,106,4,,9,2022,96.36%,,96.7119,,,,
A,54,GOLFINA,104,28/07/2022,11/09/2022,101,3,,9,2022,97.12%,,91.59192,,,,
A,55,GOLFINA,110,28/07/2022,11/09/2022,103,7,,9,2022,93.64%,,96.7119,,,,
A,56,GOLFINA,97,28/07/2022,11/09/2022,94,3,,9,2022,96.91%,,85.61861,,,,
A,57,GOLFINA,81,29/07/2022,12/09/2022,81,0,,9,2022,100.00%,,71.96533,,,,
A,58,GOLFINA,115,29/07/2022,12/09/2022,112,3,,9,2022,97.39%,,100.97855,,,,
A,59,GOLFINA,87,30/07/2022,13/09/2022,84,3,,9,2022,96.55%,,77.08531,,,,
A,60,GOLFINA,54,30/07/2022,13/09/2022,50,4,,9,2022,92.59%,,48.92542,,,,
A,61,GOLFINA,23,30/07/2022,13/09/2022,20,3,,9,2022,86.96%,,22.47219,,,,
A,62,GOLFINA,93,30/07/2022,13/09/2022,90,3,,9,2022,96.77%,,82.20529,,,,
A,63,GOLFINA,118,30/07/2022,13/09/2022,116,2,,9,2022,98.31%,,103.53854,,,,
A,64,GOLFINA,106,30/07/2022,13/09/2022,102,4,,9,2022,96.23%,,93.29858,,,,
A,65,GOLFINA,79,30/07/2022,13/09/2022,74,5,,9,2022,93.67%,,70.25867,,,,
A,66,GOLFINA,106,30/07/2022,13/09/2022,102,4,,9,2022,96.23%,,93.29858,,,,
A,67,GOLFINA,105,30/07/2022,13/09/2022,105,0,,9,2022,100.00%,,92.44525,,,,
A,68,GOLFINA,108,30/07/2022,13/09/2022,107,1,,9,2022,99.07%,,95.00524,,,,
A,69,GOLFINA,100,30/07/2022,13/09/2022,93,7,,9,2022,93.00%,,88.1786,,,,
A,70,GOLFINA,38,30/07/2022,13/09/2022,33,5,,9,2022,86.84%,,35.27214,,,,
A,71,GOLFINA,100,30/07/2022,13/09/2022,91,9,,9,2022,91.00%,,88.1786,,,,
A,72,GOLFINA,88,30/07/2022,13/09/2022,86,2,,9,2022,97.73%,,77.93864,,,,
A,73,GOLFINA,87,30/07/2022,13/09/2022,82,5,,9,2022,94.25%,,77.08531,,,,
A,74,GOLFINA,122,30/07/2022,13/09/2022,118,4,,9,2022,96.72%,,106.95186,,,,
A,75,GOLFINA,110,30/07/2022,13/09/2022,108,2,,9,2022,98.18%,,96.7119,,,,
A,76,GOLFINA,85,30/07/2022,13/09/2022,83,2,,9,2022,97.65%,,75.37865,,,,
A,77,GOLFINA,59,31/07/2022,14/09/2022,55,4,,9,2022,93.22%,,53.19207,,,,
A,78,GOLFINA,90,31/07/2022,14/09/2022,90,0,,9,2022,100.00%,,79.6453,,,,
A,79,GOLFINA,99,31/07/2022,14/09/2022,94,5,,9,2022,94.95%,,87.32527,,,,
A,80,GOLFINA,120,31/07/2022,14/09/2022,116,4,,9,2022,96.67%,,105.2452,,,,
A,81,GOLFINA,89,31/07/2022,14/09/2022,87,2,,9,2022,97.75%,,78.79197,,,,
A,82,GOLFINA,105,31/07/2022,14/09/2022,104,1,,9,2022,99.05%,,92.44525,,,,
A,83,GOLFINA,99,31/07/2022,14/09/2022,97,2,,9,2022,97.98%,,87.32527,,,,
A,84,GOLFINA,84,31/07/2022,14/09/2022,80,4,,9,2022,95.24%,,74.52532,,,,
A,85,GOLFINA,100,31/07/2022,14/09/2022,98,2,,9,2022,98.00%,,88.1786,,,,
A,86,GOLFINA,89,31/07/2022,14/09/2022,87,2,,9,2022,97.75%,,78.79197,,,,
A,87,GOLFINA,105,31/07/2022,14/09/2022,101,4,,9,2022,96.19%,,92.44525,,,,
A,88,GOLFINA,89,31/07/2022,14/09/2022,81,8,,9,2022,91.01%,,78.79197,,,,
A,89,GOLFINA,99,31/07/2022,14/09/2022,93,6,,9,2022,93.94%,,87.32527,,,,
A,90,GOLFINA,88,31/07/2022,14/09/2022,84,4,,9,2022,95.45%,,77.93864,,,,
A,91,GOLFINA,109,31/07/2022,14/09/2022,106,3,,9,2022,97.25%,,95.85857,,,,
A,92,GOLFINA,105,31/07/2022,14/09/2022,101,4,,9,2022,96.19%,,92.44525,,,,
A,93,GOLFINA,98,31/07/2022,14/09/2022,96,2,,9,2022,97.96%,,86.47194,,,,
A,94,GOLFINA,109,31/07/2022,14/09/2022,103,6,,9,2022,94.50%,,95.85857,,,,
A,95,GOLFINA,107,31/07/2022,14/09/2022,107,0,,9,2022,100.00%,,94.15191,,,,
A,96,GOLFINA,110,31/07/2022,14/09/2022,102,8,,9,2022,92.73%,,96.7119,,,,
A,97,GOLFINA,95,31/07/2022,14/09/2022,91,4,,9,2022,95.79%,,83.91195,,,,
A,98,GOLFINA,59,31/07/2022,14/09/2022,54,5,,9,2022,91.53%,,53.19207,,,,
A,99,GOLFINA,94,31/07/2022,14/09/2022,91,3,,9,2022,96.81%,,83.05862,,,,
A,100,GOLFINA,108,31/07/2022,14/09/2022,106,2,,9,2022,98.15%,,95.00524,,,,
A,101,GOLFINA,100,31/07/2022,14/09/2022,99,1,,9,2022,99.00%,,88.1786,,,,
A,102,GOLFINA,100,31/07/2022,14/09/2022,96,4,,9,2022,96.00%,,88.1786,,,,
A,103,GOLFINA,97,31/07/2022,14/09/2022,94,3,,9,2022,96.91%,,85.61861,,,,
A,104,GOLFINA,92,31/07/2022,14/09/2022,91,1,,9,2022,98.91%,,81.35196,,,,
A,105,GOLFINA,91,01/08/2022,15/09/2022,89,2,,9,2022,97.80%,,80.49863,,,,
A,106,GOLFINA,90,01/08/2022,15/09/2022,85,5,,9,2022,94.44%,,79.6453,,,,
A,107,GOLFINA,52,01/08/2022,15/09/2022,49,3,,9,2022,94.23%,,47.21876,,,,
A,108,GOLFINA,85,01/08/2022,15/09/2022,83,2,,9,2022,97.65%,,75.37865,,,,
A,109,GOLFINA,105,01/08/2022,15/09/2022,102,3,,9,2022,97.14%,,92.44525,,,,
A,110,GOLFINA,106,01/08/2022,15/09/2022,100,6,,9,2022,94.34%,,93.29858,,,,
A,111,GOLFINA,84,01/08/2022,15/09/2022,79,5,,9,2022,94.05%,,74.52532,,,,
A,112,GOLFINA,100,01/08/2022,15/09/2022,98,2,,9,2022,98.00%,,88.1786,,,,
A,113,GOLFINA,97,01/08/2022,15/09/2022,91,6,,9,2022,93.81%,,85.61861,,,,
A,114,GOLFINA,90,01/08/2022,15/09/2022,89,1,,9,2022,98.89%,,79.6453,,,,
A,115,GOLFINA,123,01/08/2022,15/09/2022,118,5,,9,2022,95.93%,,107.80519,,,,
A,116,GOLFINA,80,01/08/2022,15/09/2022,72,8,,9,2022,90.00%,,71.112,,,,
A,117,GOLFINA,107,01/08/2022,15/09/2022,104,3,,9,2022,97.20%,,94.15191,,,,
A,118,GOLFINA,90,01/08/2022,15/09/2022,88,2,,9,2022,97.78%,,79.6453,,,,
A,119,GOLFINA,91,02/08/2022,16/09/2022,90,1,,9,2022,98.90%,,80.49863,,,,
A,120,GOLFINA,103,02/08/2022,16/09/2022,93,10,,9,2022,90.29%,,90.73859,,,,
A,121,GOLFINA,111,02/08/2022,16/09/2022,109,2,,9,2022,98.20%,,97.56523,,,,
A,122,GOLFINA,81,02/08/2022,16/09/2022,78,3,,9,2022,96.30%,,71.96533,,,,
A,123,GOLFINA,90,02/08/2022,16/09/2022,87,3,,9,2022,96.67%,,79.6453,,,,
A,124,GOLFINA,112,02/08/2022,16/09/2022,107,5,,9,2022,95.54%,,98.41856,,,,
A,125,GOLFINA,106,02/08/2022,16/09/2022,102,4,,9,2022,96.23%,,93.29858,,,,
A,126,GOLFINA,117,02/08/2022,16/09/2022,115,2,,9,2022,98.29%,,102.68521,,,,
A,127,GOLFINA,95,02/08/2022,16/09/2022,93,2,,9,2022,97.89%,,83.91195,,,,
A,128,GOLFINA,85,02/08/2022,16/09/2022,81,4,,9,2022,95.29%,,75.37865,,,,
A,129,GOLFINA,100,02/08/2022,16/09/2022,96,4,,9,2022,96.00%,,88.1786,,,,
A,130,GOLFINA,80,02/08/2022,16/09/2022,76,4,,9,2022,95.00%,,71.112,,,,
A,131,GOLFINA,98,02/08/2022,16/09/2022,93,5,,9,2022,94.90%,,86.47194,,,,
A,132,GOLFINA,92,02/08/2022,16/09/2022,89,3,,9,2022,96.74%,,81.35196,,,,
A,133,GOLFINA,95,02/08/2022,16/09/2022,91,4,,9,2022,95.79%,,83.91195,,,,
A,134,GOLFINA,107,02/08/2022,16/09/2022,100,7,,9,2022,93.46%,,94.15191,,,,
A,135,GOLFINA,101,02/08/2022,16/09/2022,93,8,,9,2022,92.08%,,89.03193,,,,
A,136,GOLFINA,110,02/08/2022,16/09/2022,103,7,,9,2022,93.64%,,96.7119,,,,
A,137,GOLFINA,102,02/08/2022,16/09/2022,97,5,,9,2022,95.10%,,89.88526,,,,
A,138,GOLFINA,106,02/08/2022,16/09/2022,101,5,,9,2022,95.28%,,93.29858,,,,
A,139,GOLFINA,106,02/08/2022,18/09/2021,106,0,,9,2021,100.00%,,93.29858,,,,
A,140,GOLFINA,72,02/08/2022,18/09/2021,70,2,,9,2021,97.22%,,64.28536,,,,
A,141,GOLFINA,55,02/08/2022,19/09/2021,50,5,,9,2021,90.91%,,49.77875,,,,
A,142,GOLFINA,106,02/08/2022,19/09/2021,103,3,,9,2021,97.17%,,93.29858,,,,
A,143,GOLFINA,101,03/08/2022,19/09/2021,98,3,,9,2021,97.03%,,89.03193,,,,
A,144,GOLFINA,116,03/08/2022,20/09/2021,113,3,,9,2021,97.41%,,101.83188,,,,
A,145,GOLFINA,96,03/08/2022,20/09/2021,92,4,,9,2021,95.83%,,84.76528,,,,
A,146,GOLFINA,88,03/08/2022,20/09/2021,83,5,,9,2021,94.32%,,77.93864,,,,
A,147,GOLFINA,99,03/08/2022,20/09/2021,96,3,,9,2021,96.97%,,87.32527,,,,
A,148,GOLFINA,96,03/08/2022,17/09/2022,94,2,,9,2022,97.92%,,84.76528,,,,
A,149,GOLFINA,100,03/08/2022,17/09/2022,94,6,,9,2022,94.00%,,88.1786,,,,
A,150,GOLFINA,109,03/08/2022,17/09/2022,103,6,,9,2022,94.50%,,95.85857,,,,
A,151,GOLFINA,106,04/08/2022,18/09/2022,105,1,,9,2022,99.06%,,93.29858,,,,
A,152,GOLFINA,104,04/08/2022,18/09/2022,103,1,,9,2022,99.04%,,91.59192,,,,
A,153,GOLFINA,86,04/08/2022,18/09/2022,80,6,,9,2022,93.02%,,76.23198,,,,
A,154,GOLFINA,84,04/08/2022,18/09/2022,83,1,,9,2022,98.81%,,74.52532,,,,
A,155,GOLFINA,53,04/08/2022,18/09/2022,45,8,,9,2022,84.91%,,48.07209,,,,
A,156,GOLFINA,126,04/08/2022,18/09/2022,119,7,,9,2022,94.44%,,110.36518,,,,
A,157,GOLFINA,102,04/08/2022,18/09/2022,98,4,,9,2022,96.08%,,89.88526,,,,
A,158,GOLFINA,98,05/08/2022,19/09/2022,96,2,,9,2022,97.96%,,86.47194,,,,
A,159,GOLFINA,103,05/08/2022,19/09/2022,102,1,,9,2022,99.03%,,90.73859,,,,
A,160,GOLFINA,94,05/08/2022,19/09/2022,93,1,,9,2022,98.94%,,83.05862,,,,
A,161,GOLFINA,95,05/08/2022,19/09/2022,87,8,,9,2022,91.58%,,83.91195,,,,
A,162,GOLFINA,120,05/08/2022,19/09/2022,116,4,,9,2022,96.67%,,105.2452,,,,
A,163,GOLFINA,99,05/08/2022,19/09/2022,93,6,,9,2022,93.94%,,87.32527,,,,
A,164,GOLFINA,104,05/08/2022,19/09/2022,100,4,,9,2022,96.15%,,91.59192,,,,
A,165,GOLFINA,106,05/08/2022,19/09/2022,106,0,,9,2022,100.00%,,93.29858,,,,
A,166,GOLFINA,115,05/08/2022,19/09/2022,109,6,,9,2022,94.78%,,100.97855,,,,
A,167,GOLFINA,68,05/08/2022,19/09/2022,66,2,,9,2022,97.06%,,60.87204,,,,
A,168,GOLFINA,106,05/08/2022,19/09/2022,102,4,,9,2022,96.23%,,93.29858,,,,
A,169,GOLFINA,119,05/08/2022,19/09/2022,114,5,,9,2022,95.80%,,104.39187,,,,
A,170,GOLFINA,101,06/08/2022,20/09/2022,96,5,,9,2022,95.05%,,89.03193,,,,
A,171,GOLFINA,100,06/08/2022,20/09/2022,97,3,,9,2022,97.00%,,88.1786,,,,
A,172,GOLFINA,109,06/08/2022,20/09/2022,99,10,,9,2022,90.83%,,95.85857,,,,
A,173,GOLFINA,121,07/08/2022,21/09/2022,117,4,,9,2022,96.69%,,106.09853,,,,
A,174,GOLFINA,101,07/08/2022,21/09/2022,89,12,,9,2022,88.12%,,89.03193,,,,
A,175,GOLFINA,96,07/08/2022,21/09/2022,92,4,,9,2022,95.83%,,84.76528,,,,
A,176,GOLFINA,94,07/08/2022,21/09/2022,91,3,,9,2022,96.81%,,83.05862,,,,
A,177,GOLFINA,96,07/08/2022,21/09/2022,93,3,,9,2022,96.88%,,84.76528,,,,
A,178,GOLFINA,86,07/08/2022,21/09/2022,81,5,,9,2022,94.19%,,76.23198,,,,
A,179,GOLFINA,90,07/08/2022,21/09/2022,82,8,,9,2022,91.11%,,79.6453,,,,
A,180,GOLFINA,104,07/08/2022,21/09/2022,101,3,,9,2022,97.12%,,91.59192,,,,
A,181,GOLFINA,107,07/08/2022,21/09/2022,102,5,,9,2022,95.33%,,94.15191,,,,
A,182,GOLFINA,71,07/08/2022,21/09/2022,63,8,,9,2022,88.73%,,63.43203,,,,
A,183,GOLFINA,90,07/08/2022,21/09/2022,86,4,,9,2022,95.56%,,79.6453,,,,
A,184,GOLFINA,100,08/08/2022,22/09/2022,98,2,,9,2022,98.00%,,88.1786,,,,
A,185,GOLFINA,111,08/08/2022,22/09/2022,104,7,,9,2022,93.69%,,97.56523,,,,
A,186,GOLFINA,92,08/08/2022,22/09/2022,87,5,,9,2022,94.57%,,81.35196,,,,
A,187,GOLFINA,91,08/08/2022,22/09/2022,86,5,,9,2022,94.51%,,80.49863,,,,
A,188,GOLFINA,64,09/08/2022,23/09/2022,61,3,,9,2022,95.31%,,57.45872,,,,
A,189,GOLFINA,120,09/08/2022,23/09/2022,116,4,,9,2022,96.67%,,105.2452,,,,
A,190,GOLFINA,46,09/08/2022,23/09/2022,43,3,,9,2022,93.48%,,42.09878,,,,
A,191,GOLFINA,40,09/08/2022,23/09/2022,35,5,,9,2022,87.50%,,36.9788,,,,
A,192,GOLFINA,75,10/08/2022,24/09/2022,69,6,,9,2022,92.00%,,66.84535,,,,
A,193,GOLFINA,80,10/08/2022,24/09/2022,78,2,,9,2022,97.50%,,71.112,,,,
A,194,GOLFINA,96,10/08/2022,24/09/2022,91,5,,9,2022,94.79%,,84.76528,,,,
A,195,GOLFINA,65,10/08/2022,24/09/2022,64,1,,9,2022,98.46%,,58.31205,,,,
A,196,GOLFINA,70,10/08/2022,24/09/2022,64,6,,9,2022,91.43%,,62.5787,,,,
A,197,GOLFINA,63,10/08/2022,24/09/2022,60,3,,9,2022,95.24%,,56.60539,,,,
A,198,GOLFINA,89,10/08/2022,24/09/2022,81,8,,9,2022,91.01%,,78.79197,,,,
A,199,GOLFINA,96,10/08/2022,24/09/2022,91,5,,9,2022,94.79%,,84.76528,,,,
A,200,GOLFINA,60,10/08/2022,24/09/2022,57,3,,9,2022,95.00%,,54.0454,,,,
A,201,GOLFINA,80,10/08/2022,24/09/2022,77,3,,9,2022,96.25%,,71.112,,,,
A,202,GOLFINA,100,10/08/2022,24/09/2022,89,11,,9,2022,89.00%,,88.1786,,,,
A,203,GOLFINA,86,10/08/2022,24/09/2022,86,0,,9,2022,100.00%,,76.23198,,,,
A,204,GOLFINA,84,10/08/2022,24/09/2022,81,3,,9,2022,96.43%,,74.52532,,,,
A,205,GOLFINA,112,10/08/2022,24/09/2022,106,6,,9,2022,94.64%,,98.41856,,,,
A,206,GOLFINA,42,10/08/2022,24/09/2022,37,5,,9,2022,88.10%,,38.68546,,,,
A,207,GOLFINA,119,11/08/2022,25/09/2022,111,8,,9,2022,93.28%,,104.39187,,,,
A,208,GOLFINA,117,11/08/2022,25/09/2022,109,8,,9,2022,93.16%,,102.68521,,,,
A,209,GOLFINA,100,11/08/2022,25/09/2022,97,3,,9,2022,97.00%,,88.1786,,,,
A,210,GOLFINA,92,11/08/2022,25/09/2022,86,6,,9,2022,93.48%,,81.35196,,,,
A,211,GOLFINA,118,11/08/2022,25/09/2022,115,3,,9,2022,97.46%,,103.53854,,,,
A,212,GOLFINA,90,12/08/2022,26/09/2022,87,3,,9,2022,96.67%,,79.6453,,,,
A,213,GOLFINA,78,12/08/2022,26/09/2022,71,7,,9,2022,91.03%,,69.40534,,,,
A,214,GOLFINA,102,12/08/2022,26/09/2022,99,3,,9,2022,97.06%,,89.88526,,,,
A,215,GOLFINA,99,12/08/2022,26/09/2022,91,8,,9,2022,91.92%,,87.32527,,,,
A,216,GOLFINA,81,12/08/2022,26/09/2022,80,1,,9,2022,98.77%,,71.96533,,,,
A,217,GOLFINA,93,12/08/2022,26/09/2022,89,4,,9,2022,95.70%,,82.20529,,,,
A,218,GOLFINA,95,12/08/2022,26/09/2022,89,6,,9,2022,93.68%,,83.91195,,,,
A,219,GOLFINA,112,12/08/2022,26/09/2022,112,0,,9,2022,100.00%,,98.41856,,,,
A,220,GOLFINA,110,12/08/2022,26/09/2022,97,13,,9,2022,88.18%,,96.7119,,,,
A,221,GOLFINA,96,12/08/2022,26/09/2022,93,3,,9,2022,96.88%,,84.76528,,,,
A,222,GOLFINA,130,12/08/2022,26/09/2022,115,15,,9,2022,88.46%,,113.7785,,,,
A,223,GOLFINA,76,12/08/2022,26/09/2022,69,7,,9,2022,90.79%,,67.69868,,,,
A,224,GOLFINA,102,12/08/2022,26/09/2022,101,1,,9,2022,99.02%,,89.88526,,,,
A,225,GOLFINA,90,12/08/2022,26/09/2022,84,6,,9,2022,93.33%,,79.6453,,,,
A,226,GOLFINA,106,12/08/2022,26/09/2022,100,6,,9,2022,94.34%,,93.29858,,,,
A,227,GOLFINA,55,12/08/2022,26/09/2022,53,2,,9,2022,96.36%,,49.77875,,,,
A,228,GOLFINA,70,13/08/2022,27/09/2022,70,0,,9,2022,100.00%,,62.5787,,,,
A,229,GOLFINA,68,13/08/2022,27/09/2022,66,2,,9,2022,97.06%,,60.87204,,,,
A,230,GOLFINA,64,13/08/2022,27/09/2022,61,3,,9,2022,95.31%,,57.45872,,,,
A,231,GOLFINA,63,13/08/2022,27/09/2022,57,6,,9,2022,90.48%,,56.60539,,,,
A,232,GOLFINA,63,13/08/2022,27/09/2022,59,4,,9,2022,93.65%,,56.60539,,,,
A,233,GOLFINA,62,13/08/2022,27/09/2022,61,1,,9,2022,98.39%,,55.75206,,,,
A,234,GOLFINA,83,13/08/2022,27/09/2022,79,4,,9,2022,95.18%,,73.67199,,,,
A,235,GOLFINA,85,13/08/2022,27/09/2022,80,5,,9,2022,94.12%,,75.37865,,,,
A,236,GOLFINA,110,13/08/2022,27/09/2022,100,10,,9,2022,90.91%,,96.7119,,,,
A,237,GOLFINA,102,13/08/2022,27/09/2022,94,8,,9,2022,92.16%,,89.88526,,,,
A,238,GOLFINA,60,13/08/2022,27/09/2022,54,6,,9,2022,90.00%,,54.0454,,,,
A,239,GOLFINA,53,13/08/2022,27/09/2022,50,3,,9,2022,94.34%,,48.07209,,,,
A,240,GOLFINA,105,13/08/2022,27/09/2022,101,4,,9,2022,96.19%,,92.44525,,,,
A,241,GOLFINA,110,14/08/2022,28/09/2022,101,9,,9,2022,91.82%,,96.7119,,,,
A,242,GOLFINA,70,14/08/2022,28/09/2022,66,4,,9,2022,94.29%,,62.5787,,,,
A,243,GOLFINA,83,14/08/2022,28/09/2022,79,4,,9,2022,95.18%,,73.67199,,,,
A,244,GOLFINA,68,14/08/2022,28/09/2022,61,7,,9,2022,89.71%,,60.87204,,,,
A,245,GOLFINA,101,14/08/2022,28/09/2022,97,4,,9,2022,96.04%,,89.03193,,,,
A,246,GOLFINA,90,14/08/2022,28/09/2022,86,4,,9,2022,95.56%,,79.6453,,,,
A,247,GOLFINA,90,14/08/2022,28/09/2022,84,6,,9,2022,93.33%,,79.6453,,,,
A,248,GOLFINA,91,14/08/2022,28/09/2022,83,8,,9,2022,91.21%,,80.49863,,,,
A,249,GOLFINA,93,14/08/2022,28/09/2022,85,8,,9,2022,91.40%,,82.20529,,,,
A,250,GOLFINA,81,14/08/2022,28/09/2022,73,8,,9,2022,90.12%,,71.96533,,,,
A,251,GOLFINA,80,14/08/2022,28/09/2022,66,14,,9,2022,82.50%,,71.112,,,,
A,252,GOLFINA,118,14/08/2022,28/09/2022,112,6,,9,2022,94.92%,,103.53854,,,,
A,253,GOLFINA,99,14/08/2022,28/09/2022,91,8,,9,2022,91.92%,,87.32527,,,,
A,254,GOLFINA,100,14/08/2022,28/09/2022,94,6,,9,2022,94.00%,,88.1786,,,,
A,255,GOLFINA,112,14/08/2022,28/09/2022,103,9,,9,2022,91.96%,,98.41856,,,,
A,256,GOLFINA,105,14/08/2022,28/09/2022,98,7,,9,2022,93.33%,,92.44525,,,,
A,257,GOLFINA,83,15/08/2022,29/09/2022,80,3,,9,2022,96.39%,,73.67199,,,,
A,258,GOLFINA,80,15/08/2022,29/09/2022,80,0,,9,2022,100.00%,,71.112,,,,
A,259,GOLFINA,87,15/08/2022,29/09/2022,83,4,,9,2022,95.40%,,77.08531,,,,
A,260,GOLFINA,80,15/08/2022,29/09/2022,71,9,,9,2022,88.75%,,71.112,,,,
A,261,GOLFINA,120,15/08/2022,29/09/2022,113,7,,9,2022,94.17%,,105.2452,,,,
